Reference,London Borough Name,Casualty Class,Casualty Sex,Casualty Age Band,Casualty Age,Number Of Casualties,Casualty Severity,Pedestrian Location,Pedestrian Movement,Mode Of Travel,Attendant Location,Number Of Vehicles,Date,Day,Time,Highway,Road Class 1,Road Number 1,Road Type,Speed Limit,Junction Detail,Junction Control,Road Class 2,Road Number 2,Pedestrian Crossing,Light Condition Band,Weather,Road Surface,Special Conditions,Carriage Way Hazard,Easting,Northing,Longitude,Latitude,Ward Code,Ward Name,Spatial Accuracy,Location,Organisation URI,Socrata ID,Last Uploaded
0115EK40899,CAMDEN,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,CHESTER GATE J/W OUTER CIRCLE,1,09/10/2015 10:12:00 AM,Friday,10.12,3 Bor,Unclassified,0,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528730,182600,-0.145667,51.527649,,,Unknown,"(51.527649, -0.145667)",http://opendatacommunities.org/id/london-borough-council/camden,5340,21/12/2020 02:48:37 PM
1170010841,CAMDEN,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,KENTISH TOWN ROAD J/W ISLIP STREET,2,10/01/2017 07:50:00 PM,Tuesday,19.50,3 Bor,A,400,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,5 Pedn Phase At Ats,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,528990,184990,-0.141046,51.549069,,,Unknown,"(51.549069, -0.141046)",http://opendatacommunities.org/id/london-borough-council/camden,6569,21/12/2020 02:48:39 PM
1170014586,CAMDEN,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle,ENDELL STREET 21M S OF J/W SHAFTSBURY AVENUE,4,26/01/2017 04:40:00 PM,Thursday,16.40,3 Bor,B,401,2 One-Way St,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,2 Other Object In Cwy,530140,181250,-0.125851,51.515194,,,Unknown,"(51.515194, -0.125851)",http://opendatacommunities.org/id/london-borough-council/camden,6616,21/12/2020 02:48:39 PM
0115EK40861,CAMDEN,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,SHAFTESBURY AVENUE J/W MERCER STREET.,2,01/10/2015 04:25:00 PM,Thursday,16.25,3 Bor,A,401,6 Single Cwy,2 30 MPH,6 Crossroads,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530000,181140,-0.127908,51.514238,,,Unknown,"(51.514238, -0.127908)",http://opendatacommunities.org/id/london-borough-council/camden,5309,21/12/2020 02:48:37 PM
1190223704,CAMDEN,3 PEDESTRIAN,1 MALE,25-59,43,1,3 SLIGHT,01 CROSSING ROAD ON PED XING,9 UNKNOWN OR OTHER,1 PEDESTRIAN,"On Upper Woburn Place, 30 metres south of the junction with ENDSLEIGH GARDENS.",1,08/12/2019 05:23:00 PM,Sunday,17.23,3 BOR,A,4200,6 SINGLE CWY,30,00 NO JUN IN 20M,,0,0,1 ZEBRA,1 DARK,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,529835,182492,-0.129787,51.526426,,,Unknown,"(51.526426, -0.129787)",http://opendatacommunities.org/id/london-borough-council/camden,9602,21/12/2020 02:48:45 PM
0115EK40852,CAMDEN,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,HIGH HOLBORN J/W SHAFTESBURY AVENUE.,2,28/09/2015 01:05:00 PM,Monday,13.05,3 Bor,A,40,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,401,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530080,181300,-0.126697,51.515657,,,Unknown,"(51.515657, -0.126697)",http://opendatacommunities.org/id/london-borough-council/camden,5301,21/12/2020 02:48:37 PM
1180153084,CAMDEN,1 Driver/Rider,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,4 Car,FINCHLEY ROAD 33M N OF J/W PLATT'S LANE,3,19/12/2018 04:42:00 AM,Wednesday,4.42,1 TLRN,A,41,3 Dual Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,4 Pelican Or Similar,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,525160,185900,-0.195931,51.558108,,,Unknown,"(51.558108, -0.195931)",http://opendatacommunities.org/id/london-borough-council/camden,8629,21/12/2020 02:48:43 PM
1180100743,CAMDEN,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,4 Car,HILGROVE ROAD 88M W OF J/W ALEXANDRA ROAD,2,09/04/2018 09:35:00 AM,Monday,9.35,3 Bor,B,509,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,1 Zebra,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,526460,184120,-0.177827,51.541822,,,Unknown,"(51.541822, -0.177827)",http://opendatacommunities.org/id/london-borough-council/camden,7873,21/12/2020 02:48:41 PM
1170027795,CAMDEN,3 Pedestrian,1 Male,25-59,39,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,SAINT CROSS STREET 10M W OF J/W LEATHER LANE,1,24/03/2017 04:30:00 PM,Friday,16.30,3 Bor,B,521,2 One-Way St,1 <= 20 MPH,6 Crossroads,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,8 Other,1 Road-Dry,1 Traf Sig Out,0 None,531300,181880,-0.108909,51.520588,,,Unknown,"(51.520588, -0.108909)",http://opendatacommunities.org/id/london-borough-council/camden,6816,21/12/2020 02:48:39 PM
0115EK40247,CAMDEN,2 Passenger,2 Female,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,4 Car,KENTISH TOWN ROAD J/W HAWLEY ROAD,2,01/04/2015 08:50:00 PM,Wednesday,20.50,3 Bor,A,400,6 Single Cwy,2 30 MPH,7 Multi Jun,2 Auto Sig,C,0,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528950,184270,-0.141886,51.542607,,,Unknown,"(51.542607, -0.141886)",http://opendatacommunities.org/id/london-borough-council/camden,4776,21/12/2020 02:48:36 PM
1180151310,CAMDEN,2 Passenger,2 Female,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,HAMPSTEAD ROAD J/W DRUMMOND ST,1,11/12/2018 12:29:00 PM,Tuesday,12.29,1 TLRN,A,400,6 Single Cwy,2 30 MPH,9 Other Jun,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529220,182420,-0.138674,51.52592,,,Unknown,"(51.52592, -0.138674)",http://opendatacommunities.org/id/london-borough-council/camden,8601,21/12/2020 02:48:43 PM
1180127343,CAMDEN,1 Driver/Rider,1 Male,25-59,46,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,TOTTENHAM COURT ROAD J/W GRAFTON WAY,3,16/08/2018 09:08:00 AM,Thursday,9.08,3 Bor,A,400,2 One-Way St,1 <= 20 MPH,6 Crossroads,2 Auto Sig,C,0,4 Pelican Or Similar,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,529320,182170,-0.137325,51.52365,,,Unknown,"(51.52365, -0.137325)",http://opendatacommunities.org/id/london-borough-council/camden,8255,21/12/2020 02:48:42 PM
0115EK40123,CAMDEN,2 Passenger,1 Male,0-15,10,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,NFL- KILBURN HIGH ROAD J/W BRONDESBURY VILLAS,1,17/02/2015 04:08:00 PM,Tuesday,16.08,3 Bor,A,5,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525410,183630,-0.193135,51.537652,,,Unknown,"(51.537652, -0.193135)",http://opendatacommunities.org/id/london-borough-council/camden,4676,21/12/2020 02:48:36 PM
1180081081,CAMDEN,1 Driver/Rider,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,GRAYS INN ROAD J/W GRAYS INN ROAD,2,02/01/2018 03:08:00 AM,Tuesday,3.08,1 TLRN,A,501,2 One-Way St,2 30 MPH,3 T/Stag Jun,2 Auto Sig,A,501,5 Pedn Phase At Ats,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,530430,182940,-0.121049,51.530315,,,Unknown,"(51.530315, -0.121049)",http://opendatacommunities.org/id/london-borough-council/camden,7646,21/12/2020 02:48:41 PM
1190197601,CAMDEN,1 DRIVER/RIDER,1 MALE,16-24,22,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE,"On Howitt Rd, 50 metres north of the junction with Haverstock Hill.",2,03/08/2019 06:20:00 PM,Saturday,18.20,3 BOR,6,0,6 SINGLE CWY,20,00 NO JUN IN 20M,,0,0,9 UNKNOWN (S/R),2 DAYLIGHT,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,527257,184853,-0.166076,51.54823,,,Unknown,"(51.54823, -0.166076)",http://opendatacommunities.org/id/london-borough-council/camden,9252,21/12/2020 02:48:44 PM
1170077445,CAMDEN,3 Pedestrian,1 Male,25-59,54,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian,KINGSWAY J/W KINGSWAY,1,12/12/2017 08:26:00 PM,Tuesday,20.26,3 Bor,A,4200,3 Dual Cwy,2 30 MPH,5 Slip Road,9 Unknown (S/R),A,4200,5 Pedn Phase At Ats,1 Daylight,2 Raining,9 Unknown (S/R),0 None,0 None,530580,181370,-0.119469,51.516171,,,Unknown,"(51.516171, -0.119469)",http://opendatacommunities.org/id/london-borough-council/camden,7606,21/12/2020 02:48:41 PM
0116EK40037,CAMDEN,1 Driver/Rider,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,4 Car,WOBURN PLACE 66M SE OF CORAM STREET,3,30/01/2016 08:25:00 PM,Saturday,20.25,3 Bor,A,4200,6 Single Cwy,1 <= 20 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530070,182150,-0.126527,51.523298,,,Unknown,"(51.523298, -0.126527)",http://opendatacommunities.org/id/london-borough-council/camden,6012,21/12/2020 02:48:38 PM
1190171672,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,59,2,2 SERIOUS,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH,"On Camden High Street, near the junction with Greenland Street.",2,28/03/2019 01:30:00 AM,Thursday,1.30,1 TLRN,A,502,2 ONE-WAY ST,30,03 T/STAG JUN,2 AUTO SIG,6,0,0 NO XING FACILITY IN 50M,1 DARK,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,528972,183748,-0.14176,51.537911,,,Unknown,"(51.537911, -0.14176)",http://opendatacommunities.org/id/london-borough-council/camden,8883,21/12/2020 02:48:43 PM
1170034296,CAMDEN,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,CLERKENWELL ROAD J/W LAYSTALL STREET,2,27/04/2017 01:15:00 PM,Thursday,13.15,3 Bor,A,5201,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,531159,182032,-0.110883,51.521986,,,Unknown,"(51.521986, -0.110883)",http://opendatacommunities.org/id/london-borough-council/camden,6919,21/12/2020 02:48:39 PM
1190183147,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,31,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE,"On Bedford Way, 25 metres south of the junction with Gordon Square.",2,24/05/2019 09:17:00 PM,Friday,21.17,3 BOR,5,0,2 ONE-WAY ST,30,00 NO JUN IN 20M,,0,0,5 PEDN PHASE AT ATS,1 DARK,2 RAINING,2 ROAD-WET,0 NONE,0 NONE,529903,182239,-0.1289,51.524137,,,Unknown,"(51.524137, -0.1289)",http://opendatacommunities.org/id/london-borough-council/camden,9044,21/12/2020 02:48:44 PM
1170053196,CAMDEN,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,8 Other Vehicle,PARKWAY J/W PARK WAY A4201,2,10/08/2017 06:10:00 PM,Thursday,18.10,3 Bor,A,4201,2 One-Way St,2 30 MPH,7 Multi Jun,2 Auto Sig,A,4201,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,528670,183620,-0.146159,51.536829,,,Unknown,"(51.536829, -0.146159)",http://opendatacommunities.org/id/london-borough-council/camden,7234,21/12/2020 02:48:40 PM
0115EK40709,CAMDEN,3 Pedestrian,1 Male,25-59,25,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian,KENTISH TOWN ROAD J/W PATSHULL ROAD,1,08/08/2015 11:30:00 PM,Saturday,23.30,3 Bor,A,400,6 Single Cwy,2 30 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,528950,184780,-0.1417,51.54719,,,Unknown,"(51.54719, -0.1417)",http://opendatacommunities.org/id/london-borough-council/camden,5181,21/12/2020 02:48:37 PM
1180140540,CAMDEN,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,PANCRAS ROAD J/W GOODS WAY,2,22/10/2018 09:49:00 AM,Monday,9.49,3 Bor,C,0,6 Single Cwy,1 <= 20 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530007,183333,-0.126999,51.533944,,,Unknown,"(51.533944, -0.126999)",http://opendatacommunities.org/id/london-borough-council/camden,8453,21/12/2020 02:48:43 PM
1180144975,CAMDEN,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car,BELSIZE AVENUE J/W HILLFIELD COURT,2,06/11/2018 04:30:00 PM,Tuesday,16.30,3 Bor,C,0,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,9 Unknown (S/R),Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,527131,185105,-0.167801,51.550523,,,Unknown,"(51.550523, -0.167801)",http://opendatacommunities.org/id/london-borough-council/camden,8512,21/12/2020 02:48:43 PM
1190223790,CAMDEN,2 PASSENGER,1 MALE,60+,79,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,6 BUS OR COACH,"On AGAR GROVE, near the junction with AGAR PLACE.",1,09/12/2019 11:25:00 AM,Monday,11.25,3 BOR,5,0,6 SINGLE CWY,20,03 T/STAG JUN,4 GIVE WAY/UNCONTROLLED,6,0,1 ZEBRA,2 DAYLIGHT,4 FINE/HIGH WINDS,1 ROAD-DRY,0 NONE,0 NONE,529437,184248,-0.134876,51.542298,,,Unknown,"(51.542298, -0.134876)",http://opendatacommunities.org/id/london-borough-council/camden,9603,21/12/2020 02:48:45 PM
1190222463,CAMDEN,3 PEDESTRIAN,1 MALE,16-24,22,1,3 SLIGHT,10 UNKNOWN OR OTHER,3 FROM DRIVERS O/SIDE,1 PEDESTRIAN,"On Dalloway Terrace, 15 metres south of the junction with Great Russell Street.",1,03/12/2019 03:05:00 PM,Tuesday,15.05,3 BOR,5,0,2 ONE-WAY ST,30,08 PRIV DRIVE,4 GIVE WAY/UNCONTROLLED,6,0,0 NO XING FACILITY IN 50M,2 DAYLIGHT,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,529897,181463,-0.129273,51.517164,,,Unknown,"(51.517164, -0.129273)",http://opendatacommunities.org/id/london-borough-council/camden,9578,21/12/2020 02:48:45 PM
0115EK40752,CAMDEN,2 Passenger,2 Female,60+,87,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach,ABBEY ROAD J/W BELSIZE ROAD,1,27/08/2015 07:10:00 PM,Thursday,19.10,3 Bor,B,507,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,B,509,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,525790,183890,-0.187566,51.539904,,,Unknown,"(51.539904, -0.187566)",http://opendatacommunities.org/id/london-borough-council/camden,5216,21/12/2020 02:48:37 PM
0115EK40939,CAMDEN,3 Pedestrian,1 Male,25-59,35,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,CHARLOTTE STREET J/W GOODGE STREET.,1,21/10/2015 02:20:00 PM,Wednesday,14.20,3 Bor,B,506,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529440,181690,-0.135772,51.519309,,,Unknown,"(51.519309, -0.135772)",http://opendatacommunities.org/id/london-borough-council/camden,5370,21/12/2020 02:48:37 PM
0116EO40131,CAMDEN,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,YORK WAY J/W MARKET ROAD,2,25/02/2016 03:03:00 PM,Thursday,15.03,3 Bor,A,5200,6 Single Cwy,1 <= 20 MPH,2 Mini,4 Give Way/Uncontrolled,Unclassified,0,1 Zebra,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530020,184560,-0.126358,51.544968,,,Unknown,"(51.544968, -0.126358)",http://opendatacommunities.org/id/london-borough-council/camden,6520,21/12/2020 02:48:39 PM
1190173115,CAMDEN,3 PEDESTRIAN,2 FEMALE,25-59,28,2,2 SERIOUS,09 IN ROAD - NOT CROSSING,9 UNKNOWN OR OTHER,1 PEDESTRIAN,"On Shaftesbury Avenue, 35 metres east of the junction with Mercer Street.",2,03/04/2019 02:30:00 PM,Wednesday,14.30,3 BOR,A,401,6 SINGLE CWY,30,00 NO JUN IN 20M,,0,0,1 ZEBRA,2 DAYLIGHT,3 SNOWING,1 ROAD-DRY,0 NONE,0 NONE,530019,181160,-0.127627,51.514413,,,Unknown,"(51.514413, -0.127627)",http://opendatacommunities.org/id/london-borough-council/camden,8905,21/12/2020 02:48:44 PM
1190206527,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,39,1,2 SERIOUS,'-2 NOT APPLICABLE,1 FROM DRIVERS N/SIDE,3 POWERED 2 WHEELER,"On Avenue Road, near the junction with Queens Grove.",2,20/09/2019 10:30:00 AM,Friday,10.30,3 BOR,B,525,6 SINGLE CWY,20,03 T/STAG JUN,4 GIVE WAY/UNCONTROLLED,6,0,0 NO XING FACILITY IN 50M,2 DAYLIGHT,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,526946,183850,-0.17092,51.539286,,,Unknown,"(51.539286, -0.17092)",http://opendatacommunities.org/id/london-borough-council/camden,9375,21/12/2020 02:48:44 PM
1170049869,CAMDEN,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,HAMPSTEAD GROVE 21M S OF J/W UPPER TERRACE,3,22/07/2017 04:48:00 PM,Saturday,16.48,3 Bor,Unclassified,0,6 Single Cwy,1 <= 20 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,526300,186110,-0.179419,51.559742,,,Unknown,"(51.559742, -0.179419)",http://opendatacommunities.org/id/london-borough-council/camden,7176,21/12/2020 02:48:40 PM
0115EK40875,CAMDEN,1 Driver/Rider,1 Male,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,CHALK FARM ROAD 22M SE OF REGENT'S PARK ROAD,2,05/10/2015 09:00:00 AM,Monday,9.00,3 Bor,A,502,6 Single Cwy,1 <= 20 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,2 Raining,2 Road-Wet,0 None,0 None,528210,184370,-0.152515,51.543674,,,Unknown,"(51.543674, -0.152515)",http://opendatacommunities.org/id/london-borough-council/camden,5321,21/12/2020 02:48:37 PM
1190223825,CAMDEN,3 PEDESTRIAN,2 FEMALE,60+,87,1,2 SERIOUS,05 CROSSING ROAD (NOT ON XING),'-2 NOT APPLICABLE,1 PEDESTRIAN,"On Haverstock Hill, near the junction with Glenlock Road.",1,09/12/2019 01:44:00 PM,Monday,13.44,3 BOR,A,502,6 SINGLE CWY,30,03 T/STAG JUN,4 GIVE WAY/UNCONTROLLED,5,0,4 PELICAN OR SIMILAR,2 DAYLIGHT,1 FINE,1 ROAD-DRY,0 NONE,0 NONE,527234,185209,-0.166279,51.551435,,,Unknown,"(51.551435, -0.166279)",http://opendatacommunities.org/id/london-borough-council/camden,9604,21/12/2020 02:48:45 PM
0115EK40942,CAMDEN,3 Pedestrian,1 Male,25-59,32,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,"BLOOMSBURY WAY, 50 METRES NE OF MUSEUM STREET.",1,25/10/2015 01:30:00 AM,Sunday,1.30,3 Bor,A,40,6 Single Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,5 Pedn Phase At Ats,2 Dark,1 Fine,2 Road-Wet,0 None,0 None,530220,181510,-0.124603,51.517512,,,Unknown,"(51.517512, -0.124603)",http://opendatacommunities.org/id/london-borough-council/camden,5372,21/12/2020 02:48:37 PM
1160005146,CAMDEN,1 Driver/Rider,1 Male,25-59,35,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,KINGSWAY J/W HIGH HOLBORN,2,05/12/2016 06:45:00 AM,Monday,6.45,3 Bor,A,4200,2 One-Way St,2 30 MPH,6 Crossroads,2 Auto Sig,A,40,5 Pedn Phase At Ats,2 Dark,1 Fine,4 Road-Frost/Ice,0 None,0 None,530520,181490,-0.120289,51.517263,,,Unknown,"(51.517263, -0.120289)",http://opendatacommunities.org/id/london-borough-council/camden,5739,21/12/2020 02:48:37 PM
1190170001,CAMDEN,1 DRIVER/RIDER,1 MALE,25-59,32,1,3 SLIGHT,'-2 NOT APPLICABLE,'-2 NOT APPLICABLE,2 PEDAL CYCLE,"On Farringdon Road, near the junction with Charterhouse Street.",2,19/03/2019 01:00:00 PM,Tuesday,13.00,1 TLRN,A,201,6 SINGLE CWY,20,06 CROSSROADS,9 UNKNOWN (S/R),B,500,9 UNKNOWN (S/R),2 DAYLIGHT,1 FINE,1 ROAD-DRY,4 ROADWORKS,9 UNKNOWN (S/R),531557,181673,-0.105284,51.518668,,,Unknown,"(51.518668, -0.105284)",http://opendatacommunities.org/id/london-borough-council/camden,8852,21/12/2020 02:48:43 PM
1160006244,CAMDEN,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,MARKET ROAD J/W YORK WAY,2,10/12/2016 07:55:00 PM,Saturday,19.55,3 Bor,Unclassified,0,6 Single Cwy,1 <= 20 MPH,2 Mini,4 Give Way/Uncontrolled,A,5200,1 Zebra,2 Dark,2 Raining,2 Road-Wet,0 None,0 None,530030,184570,-0.12621,51.545056,,,Unknown,"(51.545056, -0.12621)",http://opendatacommunities.org/id/london-borough-council/camden,5759,21/12/2020 02:48:37 PM
1180150256,CAMDEN,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,EUSTON ROAD 30M N OF J/W DUKES ROAD,2,05/12/2018 08:50:00 PM,Wednesday,20.50,3 Bor,Unclassified,0,3 Dual Cwy,2 30 MPH,0 No Jun In 20m,-2 Not Applicable,-2 Not Applicable,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,2 Road-Wet,0 None,0 None,529872,182663,-0.129191,51.527954,,,Unknown,"(51.527954, -0.129191)",http://opendatacommunities.org/id/london-borough-council/camden,8588,21/12/2020 02:48:43 PM
1170028988,CAMDEN,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle,THEOBALDS ROAD J/W JOCKEYS FIELD,2,30/03/2017 07:45:00 AM,Thursday,7.45,3 Bor,A,401,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,4 Give Way/Uncontrolled,Unclassified,0,0 No Xing Facility In 50m,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530810,181890,-0.115964,51.520791,,,Unknown,"(51.520791, -0.115964)",http://opendatacommunities.org/id/london-borough-council/camden,6830,21/12/2020 02:48:39 PM
1180097327,CAMDEN,3 Pedestrian,1 Male,0-15,10,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian,ADELAIDE ROAD J/W ETON ROAD,1,20/03/2018 07:10:00 PM,Tuesday,19.10,3 Bor,B,509,6 Single Cwy,1 <= 20 MPH,9 Other Jun,9 Unknown (S/R),Unclassified,0,8 Central Refuge,2 Dark,1 Fine,1 Road-Dry,0 None,0 None,527670,184400,-0.160287,51.544066,,,Unknown,"(51.544066, -0.160287)",http://opendatacommunities.org/id/london-borough-council/camden,7825,21/12/2020 02:48:41 PM
0115EK40864,CAMDEN,1 Driver/Rider,1 Male,25-59,56,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler,CAMDEN STREET J/W PLENDER STREET,2,30/09/2015 07:40:00 AM,Wednesday,7.40,1 TLRN,A,400,6 Single Cwy,2 30 MPH,6 Crossroads,2 Auto Sig,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,529320,183640,-0.136785,51.536861,,,Unknown,"(51.536861, -0.136785)",http://opendatacommunities.org/id/london-borough-council/camden,5312,21/12/2020 02:48:37 PM
1180124674,CAMDEN,3 Pedestrian,1 Male,25-59,40,1,3 Slight,10 Unknown,9 Unknown Or Other,1 Pedestrian,HIGHGATE HIGH STREET 20M E OF J/W TOWNSEND YARD,1,02/08/2018 12:05:00 PM,Thursday,12.05,3 Bor,B,519,6 Single Cwy,1 <= 20 MPH,3 T/Stag Jun,9 Unknown (S/R),Unclassified,0,9 Unknown (S/R),1 Daylight,8 Other,1 Road-Dry,0 None,0 None,528530,187380,-0.146804,51.570652,,,Unknown,"(51.570652, -0.146804)",http://opendatacommunities.org/id/london-borough-council/camden,8218,21/12/2020 02:48:42 PM
1170072177,CAMDEN,3 Pedestrian,2 Female,25-59,29,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian,THEOBALDS ROAD J/W EMERALD STREET,1,23/11/2017 09:06:00 AM,Thursday,9.06,3 Bor,A,401,3 Dual Cwy,2 30 MPH,3 T/Stag Jun,1 Auth Person,Unclassified,0,5 Pedn Phase At Ats,1 Daylight,1 Fine,1 Road-Dry,0 None,0 None,530731,181860,-0.117113,51.52054,,,Unknown,"(51.52054, -0.117113)",http://opendatacommunities.org/id/london-borough-council/camden,7537,21/12/2020 02:48:41 PM
